,context,triplets
166,"The word Filament, which is descended from Latin filum = ""thread"", is used in English for a variety of thread-like structures, including:


Myofilament, filaments of myofibrils constructed from proteins
Protein filament, a long chain of protein subunits, such as those found in hair, muscle, or in flagella
Part of a stamen, the male part of a flower
A chain of cells connected end-to-end
Hypha, a thread-like cell in fungi and Actinobacteria
Filamentation, an elongation of individual bacterial cells
Fine root hair on plants, natural fibers on plants, and other hair-like growths on plants


",<triplet> filament <subj> flower <obj> part of
167,The frequency of alleles in a diploid population can be used to predict the frequencies of the corresponding genotypes (see Hardy-Weinberg principle).,<triplet> allele <subj> genotype <obj> can be used to predict
168,"Diploid organisms have one copy of each gene (and, therefore, one allele) on each chromosome.",<triplet> diploid organism <subj> allele <obj> have one copy of each
169,"Male and female reproductive organs are generally found in separate flowers, the male flowers having a number of long filaments terminating in exposed stamens, and the female flowers having long, feather-like stigmas.",<triplet> flower <subj> filament <obj> having
170,"A flower, sometimes known as a bloom or blossom, is the reproductive structure found in flowering plants (plants of the division Magnoliophyta, also called angiosperms).",<triplet> flower <subj> angiosperm <obj> is reproductive structure found in
171,Flowers give rise to fruit and seeds.,<triplet> flower <subj> fruit <obj> give rise to
172,"The gynoecium of a flower is also described using an alternative terminology wherein the structure one sees in the innermost whorl (consisting of an ovary, style and stigma) is called a pistil.",<triplet> flower <subj> stigma <obj> consisting of
173,"The gynoecium of a flower is also described using an alternative terminology wherein the structure one sees in the innermost whorl (consisting of an ovary, style and stigma) is called a pistil.",<triplet> flower <subj> style <obj> consisting of
174,"The gynoecium of a flower is also described using an alternative terminology wherein the structure one sees in the innermost whorl (consisting of an ovary, style and stigma) is called a pistil.",<triplet> flower <subj> ovary <obj> consisting of
175,"The gynoecium of a flower is also described using an alternative terminology wherein the structure one sees in the innermost whorl (consisting of an ovary, style and stigma) is called a pistil.",<triplet> flower <subj> pistil <obj> consisting of
